community_area,year,primary_type,count
19,2014,NARCOTICS,362
19,2014,NON-CRIMINAL,1
19,2014,OFFENSE INVOLVING CHILDREN,77
19,2014,OTHER OFFENSE,384
19,2014,PROSTITUTION,59
19,2014,PUBLIC INDECENCY,1
19,2014,PUBLIC PEACE VIOLATION,62
19,2014,ROBBERY,148
19,2014,SEX OFFENSE,19
19,2014,STALKING,1
19,2014,THEFT,904
19,2014,WEAPONS VIOLATION,40
19,2015,ARSON,13
19,2015,ASSAULT,372
19,2015,BATTERY,977
19,2015,BURGLARY,258
19,2015,CONCEALED CARRY LICENSE VIOLATION,1
19,2015,CRIM SEXUAL ASSAULT,26
19,2015,CRIMINAL DAMAGE,567
19,2015,CRIMINAL TRESPASS,97
19,2015,DECEPTIVE PRACTICE,230
19,2015,HOMICIDE,9
19,2015,INTERFERENCE WITH PUBLIC OFFICER,38
19,2015,INTIMIDATION,6
19,2015,KIDNAPPING,8
19,2015,LIQUOR LAW VIOLATION,8
19,2015,MOTOR VEHICLE THEFT,262
19,2015,NARCOTICS,368
19,2015,OFFENSE INVOLVING CHILDREN,70
19,2015,OTHER NARCOTIC VIOLATION,1
19,2015,OTHER OFFENSE,406
19,2015,PROSTITUTION,29
19,2015,PUBLIC PEACE VIOLATION,55
19,2015,ROBBERY,150
19,2015,SEX OFFENSE,28
19,2015,STALKING,1
19,2015,THEFT,809
19,2015,WEAPONS VIOLATION,50
19,2016,ARSON,20
19,2016,ASSAULT,355
19,2016,BATTERY,920
19,2016,BURGLARY,329
19,2016,CONCEALED CARRY LICENSE VIOLATION,1
19,2016,CRIM SEXUAL ASSAULT,28
19,2016,CRIMINAL DAMAGE,585
19,2016,CRIMINAL TRESPASS,95
19,2016,DECEPTIVE PRACTICE,302
19,2016,HOMICIDE,8
19,2016,INTERFERENCE WITH PUBLIC OFFICER,20
19,2016,INTIMIDATION,11
19,2016,KIDNAPPING,8
19,2016,LIQUOR LAW VIOLATION,3
19,2016,MOTOR VEHICLE THEFT,259
19,2016,NARCOTICS,140
19,2016,NON-CRIMINAL,2
19,2016,OBSCENITY,1
19,2016,OFFENSE INVOLVING CHILDREN,69
19,2016,OTHER OFFENSE,378
19,2016,PROSTITUTION,3
19,2016,PUBLIC PEACE VIOLATION,16
19,2016,ROBBERY,188
19,2016,SEX OFFENSE,21
19,2016,STALKING,2
19,2016,THEFT,950
19,2016,WEAPONS VIOLATION,64
19,2017,ARSON,14
19,2017,ASSAULT,337
19,2017,BATTERY,851
19,2017,BURGLARY,328
19,2017,CONCEALED CARRY LICENSE VIOLATION,4
19,2017,CRIM SEXUAL ASSAULT,20
19,2017,CRIMINAL DAMAGE,528
19,2017,CRIMINAL TRESPASS,88
19,2017,DECEPTIVE PRACTICE,322
19,2017,HOMICIDE,8
19,2017,INTERFERENCE WITH PUBLIC OFFICER,13
19,2017,INTIMIDATION,3
19,2017,KIDNAPPING,7
19,2017,LIQUOR LAW VIOLATION,1
19,2017,MOTOR VEHICLE THEFT,410
19,2017,NARCOTICS,121
19,2017,OFFENSE INVOLVING CHILDREN,58
19,2017,OTHER OFFENSE,346
19,2017,PROSTITUTION,16
19,2017,PUBLIC PEACE VIOLATION,30
19,2017,ROBBERY,172
19,2017,SEX OFFENSE,19
19,2017,STALKING,1
19,2017,THEFT,855
19,2017,WEAPONS VIOLATION,53
19,2018,ARSON,12
19,2018,ASSAULT,331
19,2018,BATTERY,891
19,2018,BURGLARY,270
19,2018,CONCEALED CARRY LICENSE VIOLATION,1
19,2018,CRIM SEXUAL ASSAULT,20
19,2018,CRIMINAL DAMAGE,505
19,2018,CRIMINAL TRESPASS,81
19,2018,DECEPTIVE PRACTICE,290
19,2018,GAMBLING,2
19,2018,HOMICIDE,11
19,2018,INTERFERENCE WITH PUBLIC OFFICER,12
19,2018,INTIMIDATION,5
19,2018,KIDNAPPING,5
19,2018,LIQUOR LAW VIOLATION,1
19,2018,MOTOR VEHICLE THEFT,233
19,2018,NARCOTICS,147
19,2018,NON-CRIMINAL,4
19,2018,OBSCENITY,1
19,2018,OFFENSE INVOLVING CHILDREN,65
19,2018,OTHER OFFENSE,374
19,2018,PROSTITUTION,5
19,2018,PUBLIC PEACE VIOLATION,18
19,2018,ROBBERY,156
19,2018,SEX OFFENSE,24
19,2018,STALKING,3
19,2018,THEFT,809
19,2018,WEAPONS VIOLATION,90
20,2010,ARSON,13
20,2010,ASSAULT,133
20,2010,BATTERY,512
20,2010,BURGLARY,225
20,2010,CRIM SEXUAL ASSAULT,7
20,2010,CRIMINAL DAMAGE,293
20,2010,CRIMINAL TRESPASS,32
20,2010,DECEPTIVE PRACTICE,64
20,2010,HOMICIDE,2
20,2010,INTERFERENCE WITH PUBLIC OFFICER,3
20,2010,INTIMIDATION,2
20,2010,KIDNAPPING,10
20,2010,LIQUOR LAW VIOLATION,4
20,2010,MOTOR VEHICLE THEFT,201
20,2010,NARCOTICS,235
20,2010,OFFENSE INVOLVING CHILDREN,22
20,2010,OTHER OFFENSE,177
20,2010,PROSTITUTION,14
20,2010,PUBLIC PEACE VIOLATION,30
20,2010,ROBBERY,85
20,2010,SEX OFFENSE,6
20,2010,STALKING,1
20,2010,THEFT,306
20,2010,WEAPONS VIOLATION,39
20,2011,ARSON,4
20,2011,ASSAULT,127
20,2011,BATTERY,422
20,2011,BURGLARY,223
20,2011,CRIM SEXUAL ASSAULT,12
20,2011,CRIMINAL DAMAGE,245
20,2011,CRIMINAL TRESPASS,28
20,2011,DECEPTIVE PRACTICE,58
20,2011,GAMBLING,1
20,2011,HOMICIDE,2
20,2011,INTERFERENCE WITH PUBLIC OFFICER,12
20,2011,INTIMIDATION,1
20,2011,KIDNAPPING,2
20,2011,LIQUOR LAW VIOLATION,2
20,2011,MOTOR VEHICLE THEFT,166
20,2011,NARCOTICS,194
20,2011,OFFENSE INVOLVING CHILDREN,24
20,2011,OTHER OFFENSE,120
20,2011,PROSTITUTION,8
20,2011,PUBLIC PEACE VIOLATION,31
20,2011,ROBBERY,80
20,2011,SEX OFFENSE,7
20,2011,THEFT,265
20,2011,WEAPONS VIOLATION,27
20,2012,ARSON,6
20,2012,ASSAULT,129
20,2012,BATTERY,370
20,2012,BURGLARY,176
20,2012,CRIM SEXUAL ASSAULT,13
20,2012,CRIMINAL DAMAGE,227
20,2012,CRIMINAL TRESPASS,24
20,2012,DECEPTIVE PRACTICE,62
20,2012,HOMICIDE,1
20,2012,INTERFERENCE WITH PUBLIC OFFICER,15
20,2012,KIDNAPPING,3
20,2012,LIQUOR LAW VIOLATION,5
20,2012,MOTOR VEHICLE THEFT,199
20,2012,NARCOTICS,178
20,2012,OFFENSE INVOLVING CHILDREN,22
20,2012,OTHER OFFENSE,170
20,2012,PROSTITUTION,6
20,2012,PUBLIC PEACE VIOLATION,26
20,2012,ROBBERY,58
20,2012,SEX OFFENSE,7
20,2012,STALKING,3
20,2012,THEFT,330
20,2012,WEAPONS VIOLATION,22
20,2013,ARSON,12
20,2013,ASSAULT,130
20,2013,BATTERY,378
20,2013,BURGLARY,132
20,2013,CRIM SEXUAL ASSAULT,15
20,2013,CRIMINAL DAMAGE,230
20,2013,CRIMINAL TRESPASS,25
20,2013,DECEPTIVE PRACTICE,66
20,2013,HOMICIDE,2
20,2013,INTERFERENCE WITH PUBLIC OFFICER,10
20,2013,KIDNAPPING,1
20,2013,LIQUOR LAW VIOLATION,1
20,2013,MOTOR VEHICLE THEFT,120
20,2013,NARCOTICS,165
20,2013,OBSCENITY,1
20,2013,OFFENSE INVOLVING CHILDREN,26
20,2013,OTHER OFFENSE,170
20,2013,PROSTITUTION,3
20,2013,PUBLIC PEACE VIOLATION,20
20,2013,ROBBERY,55
20,2013,SEX OFFENSE,8
20,2013,STALKING,1
20,2013,THEFT,369
20,2013,WEAPONS VIOLATION,27
20,2014,ARSON,5
20,2014,ASSAULT,122
20,2014,BATTERY,327
20,2014,BURGLARY,113
20,2014,CRIM SEXUAL ASSAULT,11
20,2014,CRIMINAL DAMAGE,210
20,2014,CRIMINAL TRESPASS,24
20,2014,DECEPTIVE PRACTICE,75
20,2014,HOMICIDE,3
20,2014,INTERFERENCE WITH PUBLIC OFFICER,10
20,2014,INTIMIDATION,1
20,2014,KIDNAPPING,2
20,2014,LIQUOR LAW VIOLATION,5
20,2014,MOTOR VEHICLE THEFT,115
20,2014,NARCOTICS,159
20,2014,OFFENSE INVOLVING CHILDREN,34
20,2014,OTHER OFFENSE,163
20,2014,PROSTITUTION,2
20,2014,PUBLIC PEACE VIOLATION,26
20,2014,ROBBERY,47
20,2014,SEX OFFENSE,9
20,2014,THEFT,311
20,2014,WEAPONS VIOLATION,18
20,2015,ARSON,3
20,2015,ASSAULT,105
20,2015,BATTERY,329
20,2015,BURGLARY,99
20,2015,CRIM SEXUAL ASSAULT,10
20,2015,CRIMINAL DAMAGE,236
20,2015,CRIMINAL TRESPASS,27
20,2015,DECEPTIVE PRACTICE,87
20,2015,INTERFERENCE WITH PUBLIC OFFICER,15
20,2015,LIQUOR LAW VIOLATION,2
20,2015,MOTOR VEHICLE THEFT,124
20,2015,NARCOTICS,112
20,2015,OFFENSE INVOLVING CHILDREN,25
20,2015,OTHER OFFENSE,155
20,2015,PROSTITUTION,1
20,2015,PUBLIC PEACE VIOLATION,14
20,2015,ROBBERY,46
20,2015,SEX OFFENSE,8
20,2015,STALKING,1
20,2015,THEFT,314
20,2015,WEAPONS VIOLATION,19
20,2016,ARSON,8
20,2016,ASSAULT,103
20,2016,BATTERY,285
20,2016,BURGLARY,115
20,2016,CRIM SEXUAL ASSAULT,11
20,2016,CRIMINAL DAMAGE,208
20,2016,CRIMINAL TRESPASS,21
20,2016,DECEPTIVE PRACTICE,80
20,2016,HOMICIDE,6
20,2016,INTERFERENCE WITH PUBLIC OFFICER,4
20,2016,LIQUOR LAW VIOLATION,1
20,2016,MOTOR VEHICLE THEFT,126
20,2016,NARCOTICS,60
20,2016,NON-CRIMINAL,2
20,2016,OBSCENITY,1
20,2016,OFFENSE INVOLVING CHILDREN,15
20,2016,OTHER OFFENSE,146
20,2016,PUBLIC PEACE VIOLATION,9
20,2016,ROBBERY,54
20,2016,SEX OFFENSE,9
20,2016,STALKING,2
20,2016,THEFT,265
20,2016,WEAPONS VIOLATION,26
20,2017,ARSON,9
20,2017,ASSAULT,105
20,2017,BATTERY,281
20,2017,BURGLARY,105
20,2017,CRIM SEXUAL ASSAULT,3
20,2017,CRIMINAL DAMAGE,158
20,2017,CRIMINAL TRESPASS,27
20,2017,DECEPTIVE PRACTICE,82
20,2017,HOMICIDE,3
20,2017,INTERFERENCE WITH PUBLIC OFFICER,2
20,2017,LIQUOR LAW VIOLATION,2
20,2017,MOTOR VEHICLE THEFT,120
20,2017,NARCOTICS,29
20,2017,OFFENSE INVOLVING CHILDREN,24
20,2017,OTHER OFFENSE,139
20,2017,PUBLIC PEACE VIOLATION,13
20,2017,ROBBERY,57
20,2017,SEX OFFENSE,12
20,2017,STALKING,1
20,2017,THEFT,305
20,2017,WEAPONS VIOLATION,28
20,2018,ARSON,4
20,2018,ASSAULT,107
20,2018,BATTERY,286
20,2018,BURGLARY,72
20,2018,CRIM SEXUAL ASSAULT,7
20,2018,CRIMINAL DAMAGE,173
20,2018,CRIMINAL TRESPASS,16
20,2018,DECEPTIVE PRACTICE,88
20,2018,HOMICIDE,2
20,2018,INTERFERENCE WITH PUBLIC OFFICER,5
20,2018,KIDNAPPING,2
20,2018,MOTOR VEHICLE THEFT,89
20,2018,NARCOTICS,52
20,2018,OBSCENITY,1
20,2018,OFFENSE INVOLVING CHILDREN,18
20,2018,OTHER OFFENSE,115
20,2018,PUBLIC PEACE VIOLATION,7
20,2018,ROBBERY,46
20,2018,SEX OFFENSE,6
20,2018,THEFT,255
20,2018,WEAPONS VIOLATION,47
21,2010,ARSON,8
21,2010,ASSAULT,218
21,2010,BATTERY,569
21,2010,BURGLARY,324
21,2010,CRIM SEXUAL ASSAULT,10
21,2010,CRIMINAL DAMAGE,456
21,2010,CRIMINAL TRESPASS,80
21,2010,DECEPTIVE PRACTICE,143
21,2010,GAMBLING,1
21,2010,HOMICIDE,1
21,2010,INTERFERENCE WITH PUBLIC OFFICER,6
21,2010,KIDNAPPING,3
21,2010,LIQUOR LAW VIOLATION,7
21,2010,MOTOR VEHICLE THEFT,367
21,2010,NARCOTICS,213
21,2010,OFFENSE INVOLVING CHILDREN,26
21,2010,OTHER OFFENSE,224
21,2010,PROSTITUTION,15
21,2010,PUBLIC PEACE VIOLATION,30
21,2010,ROBBERY,121
21,2010,SEX OFFENSE,14
21,2010,STALKING,4
21,2010,THEFT,883
21,2010,WEAPONS VIOLATION,22
21,2011,ARSON,6
21,2011,ASSAULT,166
21,2011,BATTERY,499
21,2011,BURGLARY,338
21,2011,CRIM SEXUAL ASSAULT,18
21,2011,CRIMINAL DAMAGE,386
21,2011,CRIMINAL TRESPASS,55
21,2011,DECEPTIVE PRACTICE,117
21,2011,HOMICIDE,3
21,2011,INTERFERENCE WITH PUBLIC OFFICER,3
21,2011,INTIMIDATION,2
21,2011,KIDNAPPING,2
21,2011,LIQUOR LAW VIOLATION,19
21,2011,MOTOR VEHICLE THEFT,400
21,2011,NARCOTICS,225
21,2011,OBSCENITY,1
21,2011,OFFENSE INVOLVING CHILDREN,36
21,2011,OTHER OFFENSE,233
21,2011,PROSTITUTION,2
21,2011,PUBLIC PEACE VIOLATION,18
21,2011,ROBBERY,105
21,2011,SEX OFFENSE,12
21,2011,STALKING,2
21,2011,THEFT,703
21,2011,WEAPONS VIOLATION,22
21,2012,ARSON,12
21,2012,ASSAULT,183
21,2012,BATTERY,516
21,2012,BURGLARY,337
21,2012,CRIM SEXUAL ASSAULT,17
21,2012,CRIMINAL DAMAGE,383
21,2012,CRIMINAL TRESPASS,68
21,2012,DECEPTIVE PRACTICE,134
21,2012,GAMBLING,1
21,2012,HOMICIDE,2
21,2012,INTERFERENCE WITH PUBLIC OFFICER,7
21,2012,INTIMIDATION,2
21,2012,KIDNAPPING,4
21,2012,LIQUOR LAW VIOLATION,9
21,2012,MOTOR VEHICLE THEFT,332
21,2012,NARCOTICS,171
21,2012,OFFENSE INVOLVING CHILDREN,30
21,2012,OTHER OFFENSE,193
21,2012,PROSTITUTION,4
21,2012,PUBLIC PEACE VIOLATION,27
21,2012,ROBBERY,113
21,2012,SEX OFFENSE,12
21,2012,STALKING,3
21,2012,THEFT,701
21,2012,WEAPONS VIOLATION,15
21,2013,ARSON,5
21,2013,ASSAULT,157
21,2013,BATTERY,418
21,2013,BURGLARY,219
21,2013,CRIM SEXUAL ASSAULT,10
21,2013,CRIMINAL DAMAGE,324
21,2013,CRIMINAL TRESPASS,31
21,2013,DECEPTIVE PRACTICE,135
21,2013,GAMBLING,1
21,2013,HOMICIDE,4
21,2013,INTERFERENCE WITH PUBLIC OFFICER,9
21,2013,INTIMIDATION,1
21,2013,LIQUOR LAW VIOLATION,5
21,2013,MOTOR VEHICLE THEFT,227
21,2013,NARCOTICS,96
21,2013,OFFENSE INVOLVING CHILDREN,21
21,2013,OTHER OFFENSE,181
21,2013,PROSTITUTION,1
21,2013,PUBLIC PEACE VIOLATION,23
21,2013,ROBBERY,111
21,2013,SEX OFFENSE,7
21,2013,STALKING,2
21,2013,THEFT,675
21,2013,WEAPONS VIOLATION,11
21,2014,ARSON,6
21,2014,ASSAULT,116
21,2014,BATTERY,387
21,2014,BURGLARY,163
21,2014,CRIM SEXUAL ASSAULT,15
21,2014,CRIMINAL DAMAGE,332
21,2014,CRIMINAL TRESPASS,48
21,2014,DECEPTIVE PRACTICE,135
21,2014,INTERFERENCE WITH PUBLIC OFFICER,4
21,2014,KIDNAPPING,2
21,2014,LIQUOR LAW VIOLATION,8
21,2014,MOTOR VEHICLE THEFT,132
21,2014,NARCOTICS,88
21,2014,OBSCENITY,2
21,2014,OFFENSE INVOLVING CHILDREN,35
21,2014,OTHER OFFENSE,144
21,2014,PROSTITUTION,3
21,2014,PUBLIC PEACE VIOLATION,15
21,2014,ROBBERY,75
21,2014,SEX OFFENSE,14
21,2014,STALKING,1
21,2014,THEFT,633
21,2014,WEAPONS VIOLATION,12
21,2015,ARSON,9
21,2015,ASSAULT,125
21,2015,BATTERY,368
21,2015,BURGLARY,118
21,2015,CRIM SEXUAL ASSAULT,11
21,2015,CRIMINAL DAMAGE,258
21,2015,CRIMINAL TRESPASS,27
21,2015,DECEPTIVE PRACTICE,141
21,2015,GAMBLING,1
21,2015,HOMICIDE,2
21,2015,INTERFERENCE WITH PUBLIC OFFICER,3
21,2015,INTIMIDATION,1
21,2015,KIDNAPPING,3
21,2015,LIQUOR LAW VIOLATION,2
21,2015,MOTOR VEHICLE THEFT,186
21,2015,NARCOTICS,92
21,2015,OFFENSE INVOLVING CHILDREN,22
21,2015,OTHER OFFENSE,127
21,2015,PROSTITUTION,1
21,2015,PUBLIC PEACE VIOLATION,13
21,2015,ROBBERY,89
21,2015,SEX OFFENSE,16
21,2015,STALKING,3
21,2015,THEFT,636
21,2015,WEAPONS VIOLATION,9
21,2016,ARSON,6
21,2016,ASSAULT,141
21,2016,BATTERY,364
21,2016,BURGLARY,152
21,2016,CRIM SEXUAL ASSAULT,12
21,2016,CRIMINAL DAMAGE,313
21,2016,CRIMINAL TRESPASS,48
21,2016,DECEPTIVE PRACTICE,180
21,2016,HOMICIDE,3
21,2016,INTERFERENCE WITH PUBLIC OFFICER,2
21,2016,KIDNAPPING,1
21,2016,LIQUOR LAW VIOLATION,3
21,2016,MOTOR VEHICLE THEFT,175
21,2016,NARCOTICS,29
21,2016,OBSCENITY,1
21,2016,OFFENSE INVOLVING CHILDREN,16
21,2016,OTHER OFFENSE,123
21,2016,PROSTITUTION,1
21,2016,PUBLIC PEACE VIOLATION,6
21,2016,ROBBERY,84
21,2016,SEX OFFENSE,9
21,2016,THEFT,601
21,2016,WEAPONS VIOLATION,17
21,2017,ARSON,8
21,2017,ASSAULT,135
21,2017,BATTERY,351
21,2017,BURGLARY,146
21,2017,CONCEALED CARRY LICENSE VIOLATION,1
21,2017,CRIM SEXUAL ASSAULT,18
21,2017,CRIMINAL DAMAGE,311
21,2017,CRIMINAL TRESPASS,37
21,2017,DECEPTIVE PRACTICE,206
21,2017,HOMICIDE,2
21,2017,INTERFERENCE WITH PUBLIC OFFICER,1
21,2017,MOTOR VEHICLE THEFT,123
21,2017,NARCOTICS,23
21,2017,OBSCENITY,3
21,2017,OFFENSE INVOLVING CHILDREN,22
21,2017,OTHER OFFENSE,145
21,2017,PUBLIC PEACE VIOLATION,5
21,2017,ROBBERY,109
21,2017,SEX OFFENSE,14
21,2017,STALKING,2
21,2017,THEFT,673
21,2017,WEAPONS VIOLATION,13
21,2018,ARSON,4
21,2018,ASSAULT,158
21,2018,BATTERY,361
21,2018,BURGLARY,152
21,2018,CRIM SEXUAL ASSAULT,16
21,2018,CRIMINAL DAMAGE,280
21,2018,CRIMINAL TRESPASS,45
21,2018,DECEPTIVE PRACTICE,176
21,2018,HOMICIDE,6
21,2018,INTERFERENCE WITH PUBLIC OFFICER,5
21,2018,INTIMIDATION,4
21,2018,KIDNAPPING,1
21,2018,LIQUOR LAW VIOLATION,1
21,2018,MOTOR VEHICLE THEFT,141
21,2018,NARCOTICS,20
21,2018,OFFENSE INVOLVING CHILDREN,17
21,2018,OTHER OFFENSE,131
21,2018,PROSTITUTION,1
21,2018,PUBLIC PEACE VIOLATION,3
21,2018,ROBBERY,98
21,2018,SEX OFFENSE,15
21,2018,THEFT,669
21,2018,WEAPONS VIOLATION,27
22,2010,ARSON,14
22,2010,ASSAULT,400
22,2010,BATTERY,1173
22,2010,BURGLARY,798
22,2010,CRIM SEXUAL ASSAULT,38
22,2010,CRIMINAL DAMAGE,979
22,2010,CRIMINAL TRESPASS,153
22,2010,DECEPTIVE PRACTICE,238
22,2010,GAMBLING,1
22,2010,HOMICIDE,2
22,2010,INTERFERENCE WITH PUBLIC OFFICER,11
22,2010,INTIMIDATION,3
22,2010,KIDNAPPING,8
22,2010,LIQUOR LAW VIOLATION,36
22,2010,MOTOR VEHICLE THEFT,648
22,2010,NARCOTICS,434
22,2010,OBSCENITY,3
22,2010,OFFENSE INVOLVING CHILDREN,68
22,2010,OTHER OFFENSE,444
22,2010,PROSTITUTION,14
22,2010,PUBLIC PEACE VIOLATION,40
22,2010,ROBBERY,319
22,2010,SEX OFFENSE,28
22,2010,STALKING,1
22,2010,THEFT,2271
22,2010,WEAPONS VIOLATION,43
22,2011,ARSON,12
22,2011,ASSAULT,327
22,2011,BATTERY,1095
22,2011,BURGLARY,774
22,2011,CRIM SEXUAL ASSAULT,28
22,2011,CRIMINAL DAMAGE,900
22,2011,CRIMINAL TRESPASS,109
22,2011,DECEPTIVE PRACTICE,217
22,2011,GAMBLING,1
22,2011,HOMICIDE,2
22,2011,INTERFERENCE WITH PUBLIC OFFICER,11
22,2011,INTIMIDATION,4
22,2011,KIDNAPPING,7
22,2011,LIQUOR LAW VIOLATION,21
22,2011,MOTOR VEHICLE THEFT,643
22,2011,NARCOTICS,301
22,2011,OFFENSE INVOLVING CHILDREN,59
22,2011,OTHER NARCOTIC VIOLATION,1
22,2011,OTHER OFFENSE,352
22,2011,PROSTITUTION,6
22,2011,PUBLIC PEACE VIOLATION,41
22,2011,ROBBERY,264
22,2011,SEX OFFENSE,23
22,2011,STALKING,6
22,2011,THEFT,2089
22,2011,WEAPONS VIOLATION,40
22,2012,ARSON,12
22,2012,ASSAULT,306
22,2012,BATTERY,989
22,2012,BURGLARY,683
22,2012,CRIM SEXUAL ASSAULT,31
22,2012,CRIMINAL DAMAGE,751
22,2012,CRIMINAL TRESPASS,127
22,2012,DECEPTIVE PRACTICE,207
22,2012,HOMICIDE,2
22,2012,INTERFERENCE WITH PUBLIC OFFICER,19
22,2012,INTIMIDATION,2
22,2012,KIDNAPPING,5
22,2012,LIQUOR LAW VIOLATION,20
22,2012,MOTOR VEHICLE THEFT,625
22,2012,NARCOTICS,339
22,2012,OFFENSE INVOLVING CHILDREN,39
22,2012,OTHER OFFENSE,319
22,2012,PROSTITUTION,6
22,2012,PUBLIC INDECENCY,1
22,2012,PUBLIC PEACE VIOLATION,52
22,2012,ROBBERY,231
22,2012,SEX OFFENSE,19
22,2012,STALKING,6
22,2012,THEFT,1974
22,2012,WEAPONS VIOLATION,34
22,2013,ARSON,13
22,2013,ASSAULT,278
22,2013,BATTERY,879
22,2013,BURGLARY,522
22,2013,CRIM SEXUAL ASSAULT,22
22,2013,CRIMINAL DAMAGE,670
22,2013,CRIMINAL TRESPASS,110
22,2013,DECEPTIVE PRACTICE,221
22,2013,HOMICIDE,4
22,2013,INTERFERENCE WITH PUBLIC OFFICER,18
22,2013,INTIMIDATION,3
22,2013,LIQUOR LAW VIOLATION,11
22,2013,MOTOR VEHICLE THEFT,396
22,2013,NARCOTICS,230
22,2013,OFFENSE INVOLVING CHILDREN,61
22,2013,OTHER OFFENSE,313
22,2013,PROSTITUTION,2
22,2013,PUBLIC PEACE VIOLATION,35
22,2013,ROBBERY,207
22,2013,SEX OFFENSE,19
22,2013,STALKING,6
22,2013,THEFT,1817
22,2013,WEAPONS VIOLATION,21
22,2014,ARSON,7
22,2014,ASSAULT,257
22,2014,BATTERY,836
22,2014,BURGLARY,365
22,2014,CRIM SEXUAL ASSAULT,25
22,2014,CRIMINAL DAMAGE,612
22,2014,CRIMINAL TRESPASS,78
22,2014,DECEPTIVE PRACTICE,243
22,2014,GAMBLING,1
22,2014,HOMICIDE,7
22,2014,INTERFERENCE WITH PUBLIC OFFICER,12
22,2014,KIDNAPPING,3
22,2014,LIQUOR LAW VIOLATION,12
22,2014,MOTOR VEHICLE THEFT,274
22,2014,NARCOTICS,177
22,2014,OFFENSE INVOLVING CHILDREN,44
22,2014,OTHER OFFENSE,279
22,2014,PROSTITUTION,1
22,2014,PUBLIC PEACE VIOLATION,43
22,2014,ROBBERY,157
22,2014,SEX OFFENSE,28
22,2014,STALKING,4
22,2014,THEFT,1609
22,2014,WEAPONS VIOLATION,27
22,2015,ARSON,10
22,2015,ASSAULT,232
22,2015,BATTERY,687
22,2015,BURGLARY,291
22,2015,CRIM SEXUAL ASSAULT,31
22,2015,CRIMINAL DAMAGE,580
22,2015,CRIMINAL TRESPASS,96
22,2015,DECEPTIVE PRACTICE,284
22,2015,HOMICIDE,8
22,2015,INTERFERENCE WITH PUBLIC OFFICER,11
22,2015,INTIMIDATION,1
22,2015,KIDNAPPING,2
22,2015,LIQUOR LAW VIOLATION,10
22,2015,MOTOR VEHICLE THEFT,266
22,2015,NARCOTICS,146
22,2015,NON - CRIMINAL,1
22,2015,NON-CRIMINAL,1
22,2015,OFFENSE INVOLVING CHILDREN,48
22,2015,OTHER OFFENSE,239
22,2015,PROSTITUTION,3
22,2015,PUBLIC PEACE VIOLATION,23
22,2015,ROBBERY,159
22,2015,SEX OFFENSE,23
22,2015,STALKING,5
22,2015,THEFT,1624
22,2015,WEAPONS VIOLATION,24
22,2016,ARSON,15
22,2016,ASSAULT,281
22,2016,BATTERY,700
22,2016,BURGLARY,360
22,2016,CRIM SEXUAL ASSAULT,29
22,2016,CRIMINAL DAMAGE,653
22,2016,CRIMINAL TRESPASS,121
22,2016,DECEPTIVE PRACTICE,420
22,2016,HOMICIDE,5
22,2016,INTERFERENCE WITH PUBLIC OFFICER,5
22,2016,INTIMIDATION,2
22,2016,KIDNAPPING,4
22,2016,LIQUOR LAW VIOLATION,3
22,2016,MOTOR VEHICLE THEFT,323
22,2016,NARCOTICS,94
22,2016,NON-CRIMINAL,1
22,2016,OFFENSE INVOLVING CHILDREN,43
22,2016,OTHER OFFENSE,258
22,2016,PUBLIC PEACE VIOLATION,25
22,2016,ROBBERY,214
22,2016,SEX OFFENSE,17
22,2016,THEFT,1867
22,2016,WEAPONS VIOLATION,29
22,2017,ARSON,7
22,2017,ASSAULT,302
22,2017,BATTERY,663
22,2017,BURGLARY,320
22,2017,CRIM SEXUAL ASSAULT,26
22,2017,CRIMINAL DAMAGE,525
22,2017,CRIMINAL TRESPASS,87
22,2017,DECEPTIVE PRACTICE,396
22,2017,HOMICIDE,5
22,2017,INTERFERENCE WITH PUBLIC OFFICER,2
22,2017,INTIMIDATION,1
22,2017,KIDNAPPING,2
22,2017,LIQUOR LAW VIOLATION,6
22,2017,MOTOR VEHICLE THEFT,256
22,2017,NARCOTICS,60
22,2017,NON-CRIMINAL,1
22,2017,OBSCENITY,2
22,2017,OFFENSE INVOLVING CHILDREN,22
22,2017,OTHER OFFENSE,249
22,2017,PUBLIC PEACE VIOLATION,16
22,2017,ROBBERY,262
22,2017,SEX OFFENSE,25
22,2017,THEFT,1799
22,2017,WEAPONS VIOLATION,35
22,2018,ARSON,7
22,2018,ASSAULT,295
22,2018,BATTERY,701
22,2018,BURGLARY,299
22,2018,CRIM SEXUAL ASSAULT,24
22,2018,CRIMINAL DAMAGE,560
22,2018,CRIMINAL TRESPASS,93
22,2018,DECEPTIVE PRACTICE,381
22,2018,HOMICIDE,4
22,2018,INTERFERENCE WITH PUBLIC OFFICER,7
22,2018,INTIMIDATION,2
22,2018,KIDNAPPING,3
22,2018,LIQUOR LAW VIOLATION,6
22,2018,MOTOR VEHICLE THEFT,207
22,2018,NARCOTICS,66
22,2018,OBSCENITY,3
22,2018,OFFENSE INVOLVING CHILDREN,30
22,2018,OTHER OFFENSE,242
22,2018,PUBLIC INDECENCY,1
22,2018,PUBLIC PEACE VIOLATION,18
22,2018,ROBBERY,148
22,2018,SEX OFFENSE,23
22,2018,STALKING,3
22,2018,THEFT,1731
22,2018,WEAPONS VIOLATION,59
23,2010,ARSON,18
23,2010,ASSAULT,718
23,2010,BATTERY,2356
23,2010,BURGLARY,616
